Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0.8428321052329446,2,0.7833805000075931,1,0.0,2,3,4,1,0.5290682435247483,3,4,5,4,0,0.9711130068241207,0.2437973031945889,1.0,0,0.9035257389118705,4,3,1,0.9009962615980185,0.0,2,0.4086100528486662,0.48652451285631315,0.0,0.3708816818960945,0
0.5649032812590571,2,0.12080535318329283,1,0.438532872985384,2,3,2,1,0.7809037615907574,3,2,4,2,0,0.6444799598225455,0.0452001808310836,0.8164965809277259,0,0.8208030108384925,4,4,2,0.38444046086622075,0.0,3,0.27290280744439815,0.2448744201139401,0.0,0.0,0
0.12315736995365167,2,0.23018712693614146,2,0.4851401467594315,1,2,2,1,0.015365998159247884,3,1,8,2,2,0.43299908563721523,0.14252436004835387,0.3333333333333333,0,0.2942745023857931,3,2,0,0.0,0.5863729078337659,3,0.0,0.0,0.0,0.0,1
0.8428321052329446,1,0.8555455396561197,0,0.24775682205471394,3,3,1,1,0.9864201456514007,3,5,3,2,1,0.9805859514488748,0.30715327242247015,0.3333333333333333,0,0.0,3,3,1,0.9009962615980185,0.3605271030785873,3,0.9536864186993159,0.5636393927627608,0.912623981097957,0.6713068087831271,0
0.8764645030146618,2,0.7014744811487236,1,0.4851401467594315,4,1,2,1,0.8222942773605343,3,3,0,2,2,0.8538962041949159,0.6025553563709264,0.8819171036881969,0,0.7720064314322386,3,4,0,0.6757696643824035,0.7537023469282028,3,0.5387092689173429,0.6264030297729014,0.6503280962936053,0.0,0
0.49240333871611686,2,0.8738683967758006,1,0.7407811250550007,1,3,2,1,0.38612722162581536,3,3,3,3,1,0.9170158049030945,0.9237659548905631,0.8819171036881969,1,0.16096982829856898,3,4,0,0.6125457952642717,0.3605271030785873,4,0.5012245859729352,0.6264030297729014,0.8223742918672109,0.6713068087831271,1
0.7899693739854969,2,0.705890985011054,1,0.32335692379886977,3,1,3,0,0.8909502731724862,2,3,4,2,0,0.8512134209724156,0.7442894705589445,0.9428090415820634,1,0.16096982829856898,3,3,1,0.8450114911742019,0.7537023469282028,3,0.8367293092974969,0.8334973733196519,0.9861678724763987,0.8016666688070073,0
0.1605986332147311,2,0.8460390693878955,1,0.0,2,1,4,1,0.045944614526807426,2,2,4,4,1,0.6337052613412126,0.7399375227001579,0.8164965809277259,0,0.9035257389118705,4,1,2,0.24872489625691704,0.3605271030785873,1,0.16924600772686804,0.2448744201139401,0.37239413927865583,0.23159972256771172,0
0.3567581713863315,2,0.6347930962167078,1,0.14914870696627042,4,3,3,1,0.24047834769120568,3,1,6,3,2,0.6061138075245687,0.6412298268636994,0.8164965809277259,0,0.6547368001061216,3,4,0,0.29997711353390266,0.5863729078337659,2,0.16924600772686804,0.2448744201139401,0.37239413927865583,0.0,1
0.49240333871611686,0,0.38416652027963905,2,0.764500998350571,3,1,3,0,0.0914541894719636,3,2,7,4,0,0.6701425087744042,0.6323238608015149,0.3333333333333333,1,1.0,4,3,1,0.38444046086622075,0.3605271030785873,3,0.45847009917622533,0.5636393927627608,0.0,0.23159972256771172,0
0.6533140957264987,2,0.4575579596716669,2,0.32335692379886977,4,2,3,1,0.543232154134545,2,3,7,4,1,0.8634043594033294,0.3315814644234758,0.8819171036881969,0,0.0,3,1,1,0.6125457952642717,0.3605271030785873,2,0.6551354682739419,0.8334973733196519,0.37239413927865583,0.8369005063545877,0
0.326954238314471,1,0.5706170434959731,2,0.14914870696627042,1,1,4,1,0.1961639501073963,1,2,7,4,2,0.6525918694076847,0.7829690638545702,0.5773502691896257,0,0.8208030108384925,4,2,0,0.4205352031037301,0.5863729078337659,3,0.45847009917622533,0.2448744201139401,0.0,0.0,0
0.6533140957264987,2,0.3939122586481649,1,0.0,4,1,1,1,0.7670728265133125,3,1,2,4,1,0.3915272149251088,0.11559572048915115,0.9428090415820634,0,0.7720064314322386,3,3,2,0.4205352031037301,0.5863729078337659,2,0.0,0.0,0.0,0.0,0
0.9247306493839766,1,0.7619360810992417,1,0.14914870696627042,1,1,4,1,0.5148818878662137,3,3,4,2,1,0.8661208015234525,0.620696297946243,0.5773502691896257,0,0.7170475029864036,3,2,1,0.7667323423581214,0.7537023469282028,3,0.27290280744439815,0.2448744201139401,0.0,0.23159972256771172,0
0.49240333871611686,2,0.7159537589559514,1,0.9382565467467164,3,3,1,1,0.3716931220418104,2,1,6,2,2,0.3759652325664149,0.0555318853925163,0.6666666666666666,1,0.8208030108384925,4,2,0,0.29997711353390266,0.0,3,0.16924600772686804,0.2448744201139401,0.37239413927865583,0.23159972256771172,1
